id,title,category,tag,keywords,audio_url,description,published
yui_16_dungeon_se_aqua_hard,急流,自然・環境,"RPGゲーム向け,自然音","急流,水,水流,ループ",assets/sounds/yui_16_dungeon_se_aqua_hard.mp3,自然音,TRUE
yui_16_dungeon_se_aqua_soft,小川,自然・環境,"RPGゲーム向け,自然音","小川,水,水流,ループ",assets/sounds/yui_16_dungeon_se_aqua_soft.mp3,自然音,TRUE
yui_16_dungeon_se_fire_hard,炎,自然・環境,"RPGゲーム向け,自然音","炎,火,ループ",assets/sounds/yui_16_dungeon_se_fire_hard.mp3,自然音,TRUE
yui_16_dungeon_se_fire_soft,焚き火,自然・環境,"RPGゲーム向け,自然音","焚き火,ループ",assets/sounds/yui_16_dungeon_se_fire_soft.mp3,自然音,TRUE
yui_16_dungeon_se_soil_hard,地震,自然・環境,"RPGゲーム向け,自然音","地震,地鳴り,ループ",assets/sounds/yui_16_dungeon_se_soil_hard.mp3,自然音,TRUE
yui_16_dungeon_se_soil_soft,地鳴り,自然・環境,"RPGゲーム向け,自然音","地震,地鳴り,ループ",assets/sounds/yui_16_dungeon_se_soil_soft.mp3,自然音,TRUE
yui_16_dungeon_se_wind_hard,台風,自然・環境,"RPGゲーム向け,自然音","台風,風,ループ",assets/sounds/yui_16_dungeon_se_wind_hard.mp3,自然音,TRUE
yui_16_dungeon_se_wind_soft,風,自然・環境,"RPGゲーム向け,自然音","台風,風,ループ",assets/sounds/yui_16_dungeon_se_wind_soft.mp3,自然音,TRUE
yui_bs_aqua_ball_attack,プシュルル,戦闘・アクション,RPGゲーム向け,"鞭,攻撃",assets/sounds/yui_bs_aqua_ball_attack.mp3,攻撃,TRUE
yui_bs_aqua_ball_move,シュゴゴゴ,戦闘・アクション,RPGゲーム向け,"鉄の玉,攻撃",assets/sounds/yui_bs_aqua_ball_move.mp3,攻撃,TRUE
yui_bs_aqua_geyser,津波,自然・環境,"RPGゲーム向け,自然音","津波,水,ループ",assets/sounds/yui_bs_aqua_geyser.mp3,自然音,TRUE
yui_bs_aqua_geyser_appearance,バカーン,戦闘・アクション,"RPGゲーム向け,爆発","水柱,爆発,破裂",assets/sounds/yui_bs_aqua_geyser_appearance.mp3,爆発,TRUE
yui_bs_aqua_geyser_splash,シャーン,戦闘・アクション,"RPGゲーム向け,爆発","水柱,爆発,破裂",assets/sounds/yui_bs_aqua_geyser_splash.mp3,攻撃,TRUE
yui_bs_aqua_rolling_jet,シャバーン,自然・環境,"RPGゲーム向け,自然音","攻撃,水,サバーン",assets/sounds/yui_bs_aqua_rolling_jet.mp3,攻撃,TRUE
yui_bs_aqua_wave,ザザーン,自然・環境,"RPGゲーム向け,自然音","攻撃,水,サバーン",assets/sounds/yui_bs_aqua_wave.mp3,自然音,TRUE
yui_bs_aqua_whip,バシン,戦闘・アクション,RPGゲーム向け,"鞭,攻撃",assets/sounds/yui_bs_aqua_whip.mp3,攻撃,TRUE
yui_bs_dark_allow_flying,魔法発動,魔法・ファンタジー,"RPGゲーム向け,その他","魔法,発動,攻撃",assets/sounds/yui_bs_dark_allow_flying.mp3,魔法,TRUE
yui_bs_dark_allow_hit,爆発,戦闘・アクション,"RPGゲーム向け,シューティングゲーム向け,爆発,小爆発","爆発,小爆発",assets/sounds/yui_bs_dark_allow_hit.mp3,爆発,TRUE
yui_bs_dark_big_snake_disappear,魔法発動,"魔法・ファンタジー,ホラー・演出","RPGゲーム向け,ホラー・演出向け,その他","魔法,発動,攻撃",assets/sounds/yui_bs_dark_big_snake_disappear.mp3,魔法,TRUE
yui_bs_dark_big_snake_move,ギュッギュッ,その他,"RPGゲーム向け,エフェクト","移動,蛇",assets/sounds/yui_bs_dark_big_snake_move.mp3,自然音+魔法,TRUE
yui_bs_dark_dark_ball,ボーッ,魔法・ファンタジー,"RPGゲーム向け,その他","魔法,発動,攻撃",assets/sounds/yui_bs_dark_dark_ball.mp3,魔法,TRUE
yui_bs_dark_hear_punch,シュバーッ,戦闘・アクション,"RPGゲーム向け,シューティングゲーム向け,攻撃",攻撃.パンチ.風切り音,assets/sounds/yui_bs_dark_hear_punch.mp3,攻撃,TRUE
yui_bs_dark_snake_hand,ギャーオ,"魔法・ファンタジー,ホラー・演出","RPGゲーム向け,ホラー・演出向け,その他","魔法,発動,攻撃",assets/sounds/yui_bs_dark_snake_hand.mp3,攻撃,TRUE
yui_bs_dark_target,ポーン,UI・操作,"エフェクト,解説動画向け","移動,変更",assets/sounds/yui_bs_dark_target.mp3,変更操作,TRUE
yui_bs_dark_wave,魔法発動,"魔法・ファンタジー,ホラー・演出","RPGゲーム向け,ホラー・演出向け,その他","魔法,発動,攻撃",assets/sounds/yui_bs_dark_wave.mp3,魔法,TRUE
yui_bs_fire_hit_homing,爆発,戦闘・アクション,"RPGゲーム向け,シューティングゲーム向け,爆発,小爆発","爆発,小爆発",assets/sounds/yui_bs_fire_hit_homing.mp3,爆発,TRUE
yui_bs_fire_nomal,爆発,戦闘・アクション,"RPGゲーム向け,シューティングゲーム向け,爆発,小爆発","爆発,小爆発",assets/sounds/yui_bs_fire_nomal.mp3,爆発,TRUE
yui_bs_fire_punch,殴り,戦闘・アクション,"RPGゲーム向け,シューティングゲーム向け","殴り,攻撃",assets/sounds/yui_bs_fire_punch.mp3,攻撃,TRUE
yui_bs_fire_rocket_punch_down,爆発,戦闘・アクション,"RPGゲーム向け,シューティングゲーム向け,爆発,小爆発","爆発,小爆発",assets/sounds/yui_bs_fire_rocket_punch_down.mp3,爆発,TRUE
yui_bs_fire_rocket_punch_hit,大爆発,戦闘・アクション,"RPGゲーム向け,シューティングゲーム向け,爆発,大爆発","爆発,大爆発",assets/sounds/yui_bs_fire_rocket_punch_hit.mp3,爆発,TRUE
yui_bs_fire_shot_homing,爆発,戦闘・アクション,"RPGゲーム向け,シューティングゲーム向け,爆発,小爆発","爆発,小爆発",assets/sounds/yui_bs_fire_shot_homing.mp3,爆発,TRUE
yui_bs_general_gage_up_pt01_1_5sec,ゲージアップ1.5秒,"UI・操作,その他","戦闘・アクション,シューティングゲーム向け","操作,変更,エフェクト,ゲージアップ",assets/sounds/yui_bs_general_gage_up_pt01_1_5sec.mp3,変更操作,TRUE
yui_bs_general_gage_up_pt01_1sec,ゲージアップ1秒,"UI・操作,その他","戦闘・アクション,シューティングゲーム向け","操作,変更,エフェクト,ゲージアップ",assets/sounds/yui_bs_general_gage_up_pt01_1sec.mp3,変更操作,TRUE
yui_bs_general_gage_up_pt01_2sec,ゲージアップ2秒,"UI・操作,その他","戦闘・アクション,シューティングゲーム向け","操作,変更,エフェクト,ゲージアップ",assets/sounds/yui_bs_general_gage_up_pt01_2sec.mp3,変更操作,TRUE
yui_bs_general_gage_up_pt02_1_5sec,ゲージアップ1.5秒,"UI・操作,その他","戦闘・アクション,シューティングゲーム向け","操作,変更,エフェクト,ゲージアップ",assets/sounds/yui_bs_general_gage_up_pt02_1_5sec.mp3,変更操作,TRUE
yui_bs_general_gage_up_pt02_1sec,ゲージアップ1秒,"UI・操作,その他","戦闘・アクション,シューティングゲーム向け","操作,変更,エフェクト,ゲージアップ",assets/sounds/yui_bs_general_gage_up_pt02_1sec.mp3,変更操作,TRUE
yui_bs_general_gage_up_pt02_2sec,ゲージアップ2秒,"UI・操作,その他","戦闘・アクション,シューティングゲーム向け","操作,変更,エフェクト,ゲージアップ",assets/sounds/yui_bs_general_gage_up_pt02_2sec.mp3,変更操作,TRUE
yui_bs_last_basic,殴り,戦闘・アクション,"RPGゲーム向け,シューティングゲーム向け","殴り,攻撃",assets/sounds/yui_bs_last_basic.mp3,攻撃,TRUE
yui_bs_last_damage_zone,魔法発動,"魔法・ファンタジー,ホラー・演出","RPGゲーム向け,ホラー・演出向け,その他","魔法,発動,攻撃",assets/sounds/yui_bs_last_damage_zone.mp3,魔法,TRUE
yui_bs_last_flapping,バサッ,"自然・環境,生活・日常,ホラー演出","RPGゲーム向け,ホラー・演出向け,生活・日常","布,羽,鳥",assets/sounds/yui_bs_last_flapping.mp3,羽音,TRUE
yui_bs_last_gusty,槍＋電気,戦闘・アクション,"RPGゲーム向け,シューティングゲーム向け","槍,電気,攻撃",assets/sounds/yui_bs_last_gusty.mp3,攻撃,TRUE
yui_bs_last_lightning01,爆発,戦闘・アクション,"RPGゲーム向け,シューティングゲーム向け,爆発,小爆発","爆発,小爆発",assets/sounds/yui_bs_last_lightning01.mp3,爆発,TRUE
yui_bs_last_lightning02,爆発,戦闘・アクション,"RPGゲーム向け,シューティングゲーム向け,爆発,小爆発","爆発,小爆発",assets/sounds/yui_bs_last_lightning02.mp3,爆発,TRUE
yui_bs_last_lightning03,爆発,戦闘・アクション,"RPGゲーム向け,シューティングゲーム向け,爆発,小爆発","爆発,小爆発",assets/sounds/yui_bs_last_lightning03.mp3,爆発,TRUE
yui_bs_last_snake_birth,魔法発動,"魔法・ファンタジー,ホラー・演出","RPGゲーム向け,ホラー・演出向け,その他","魔法,発動,攻撃",assets/sounds/yui_bs_last_snake_birth.mp3,魔法,TRUE
yui_bs_last_snake_laser,レーザー,戦闘・アクション,"シューティングゲーム向け,強攻撃","レーザー,攻撃",assets/sounds/yui_bs_last_snake_laser.mp3,攻撃,TRUE
yui_bs_last_snake_scope,レーザー,戦闘・アクション,"シューティングゲーム向け,弱攻撃","レーザー,攻撃",assets/sounds/yui_bs_last_snake_scope.mp3,攻撃,TRUE
